Dmoj_trans,Final_verdict
DmojOr67b,FBgn0134837
DmojOr67c,FBgn0136598
DmojOr67d,FBgn0134224
DmojOr69a,FBgn0136391
DmojOr71a,FBgn0280754
DmojOr74a,FBgn0135651
DmojOr82a,FBgn0133612
DmojOr83a,FBgn0146372
DmojOr83b,FBgn0146369
DmojOr83c_1,FBgn0140790
DmojOr83c_2,FBgn0144788
DmojOr85a_1,FBgn0281527
DmojOr85a_2,FBgn0145990
DmojOr85c_1,FBgn0146404
DmojOr85c_2,FBgn0281294
DmojOr85d,FBgn0146641
DmojOr85e,FBgn0133001
DmojOr85f,FBgn0146728
DmojOr88a,FBgn0146068
DmojOr92a,FBgn0144459
DmojOr94a,FBgn0144729
DmojOr94b,FBgn0144730
DmojOr98a_1,FBgn0145486
DmojOr98a_2,FBgn0135976
DmojOr98a_GI11402,FBgn0134163
DmojOr9a,FBgn0138140
DmojOrN1,FBgn0139490
DmojOrN2_1,FBgn0146976
DmojOrN2_2,FBgn0281823
DmojOrN2_5,FBgn0146054
